UAE North,Middle East,/subscriptions/00000000-0000-2222-0000-000000000000/locations/uaenorth,25.266666,55.316666,uaenorth,uaecentral,Dubai,Recommended,(Middle East) UAE North,Physical,00000000-0000-2222-0000-000000000000
UK South,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/uksouth,50.941,-0.799,uksouth,ukwest,London,Recommended,(Europe) UK South,Physical,00000000-0000-2222-0000-000000000000
UK West,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/ukwest,53.427,-3.084,ukwest,uksouth,Cardiff,Other,(Europe) UK West,Physical,00000000-0000-2222-0000-000000000000
United Arab Emirates,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/uae,,,uae,,,Other,United Arab Emirates,Logical,00000000-0000-2222-0000-000000000000
United Kingdom,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/uk,,,uk,,,Other,United Kingdom,Logical,00000000-0000-2222-0000-000000000000
United States,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/unitedstates,,,unitedstates,,,Other,United States,Logical,00000000-0000-2222-0000-000000000000
West Central US,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westcentralus,40.89,-110.234,westcentralus,westus2,Wyoming,Other,(US) West Central US,Physical,00000000-0000-2222-0000-000000000000
West Europe,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westeurope,52.3667,4.9,westeurope,northeurope,Netherlands,Recommended,(Europe) West Europe,Physical,00000000-0000-2222-0000-000000000000
West India,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westindia,19.088,72.868,westindia,southindia,Mumbai,Other,(Asia Pacific) West India,Physical,00000000-0000-2222-0000-000000000000
West US,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westus,37.783,-122.417,westus,eastus,California,Recommended,(US) West US,Physical,00000000-0000-2222-0000-000000000000
West US (Stage),US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westusstage,,,westusstage,,,Other,(US) West US (Stage),Logical,00000000-0000-2222-0000-000000000000
West US 2,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westus2,47.233,-119.852,westus2,westcentralus,Washington,Recommended,(US) West US 2,Physical,00000000-0000-2222-0000-000000000000
West US 2 (Stage),US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westus2stage,,,westus2stage,,,Other,(US) West US 2 (Stage),Logical,00000000-0000-2222-0000-000000000000
West US 3,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/westus3,33.448376,-112.074036,westus3,eastus,Phoenix,Recommended,(US) West US 3,Physical,00000000-0000-2222-0000-000000000000
